Id,OverallQual,OverallCond,YearBuilt,BsmtFinSF1,FlrSF1st,FlrSF2nd,GrLivArea,SalePrice
641,8,5,2003,1218,1518,0,1518,274000
642,7,5,2001,738,1057,872,1929,226000
643,8,7,1972,1410,2000,704,2704,345000
644,5,5,1969,493,780,840,1620,152000
645,9,5,2009,1121,1766,0,1766,370878
646,6,5,1971,282,981,0,981,143250
647,5,5,1950,0,1048,0,1048,98300
648,6,5,1953,500,1094,0,1094,155000
649,6,5,1966,0,1051,788,1839,155000
650,4,6,1970,131,630,0,630,84500
651,7,6,2007,0,822,843,1665,205950
652,4,5,1940,0,755,755,1510,108000
653,7,5,1996,0,909,807,1716,191000
654,6,7,1906,0,756,713,1469,135000
655,8,6,1995,1696,2113,0,2113,350000
656,6,5,1971,0,525,567,1092,88000
657,5,7,1959,806,1053,0,1053,145500
658,7,6,1931,0,851,651,1502,149000
659,6,5,1948,0,912,546,1458,97500
660,5,7,1964,637,1486,0,1486,167000
661,7,7,1976,0,1142,793,1935,197900
662,8,7,1994,1361,1686,762,2448,402000
663,6,3,1968,0,1392,0,1392,110000
664,4,5,1972,920,1181,0,1181,137500
665,8,5,2005,1721,2097,0,2097,423000
666,8,5,2000,0,1454,482,1936,230500
667,6,5,1965,187,1465,915,2380,129000
668,6,5,1994,1138,1679,0,1679,193500
669,5,6,1956,988,1437,0,1437,168000
670,4,5,1922,0,1180,0,1180,137500
671,6,5,2005,193,738,738,1476,173500
672,6,6,1925,551,697,672,1369,103600
673,6,6,1977,767,1208,0,1208,165000
674,6,7,1957,1186,1839,0,1839,257500
675,6,6,1965,892,1136,0,1136,140000
676,6,6,1978,311,855,586,1441,148500
677,4,2,1900,0,1095,679,1774,87000
678,5,8,1924,0,792,0,792,109500
679,8,5,2008,0,2046,0,2046,372500
680,5,5,1961,827,988,0,988,128500
681,6,5,1980,543,923,0,923,143000
682,5,5,1932,182,848,672,1520,159434
683,6,5,1996,1003,1291,0,1291,173000
684,9,5,2002,1059,1668,0,1668,285000
685,7,5,1998,0,1195,644,1839,221000
686,7,5,1984,828,1190,900,2090,207500
687,7,6,2007,0,874,887,1761,227875
688,7,5,2004,239,551,551,1102,148800
689,8,6,2007,945,1419,0,1419,392000
690,6,5,2005,20,1362,0,1362,194700
691,6,5,2004,697,848,0,848,141000
692,10,6,1994,1455,2444,1872,4316,755000
693,7,5,1989,965,1238,1281,2519,335000
694,5,6,1921,0,1073,0,1073,108480
695,5,6,1936,0,1067,472,1539,141500
696,6,6,1987,980,1137,0,1137,176000
697,5,7,1921,616,616,0,616,89000
698,5,7,1952,210,1148,0,1148,123500
699,5,8,1965,553,894,0,894,138500
700,7,5,2004,16,1391,0,1391,196000
701,8,5,2002,1274,1800,0,1800,312500
702,7,5,1969,0,1164,0,1164,140000
703,8,5,2006,0,1264,1312,2576,361919
704,5,9,1900,0,1032,780,1812,140000
705,7,5,2004,712,1484,0,1484,213000
706,4,5,1930,0,372,720,1092,55000
707,7,5,1971,1219,1824,0,1824,302000
708,8,5,2006,863,1324,0,1324,254000
709,7,5,2007,0,728,728,1456,179540
710,5,7,1966,0,904,0,904,109900
711,3,6,1935,0,729,0,729,52000
712,4,7,1900,0,859,319,1178,102776
713,8,5,1988,767,1228,0,1228,189000
714,4,5,1970,789,960,0,960,129000
715,6,8,1976,533,725,754,1479,130500
716,6,5,1974,0,1350,0,1350,165000
717,7,8,1890,0,1576,978,2554,159500
718,5,6,1973,1084,1178,0,1178,157000
719,7,5,1993,1173,1325,1093,2418,341000
720,5,6,1969,523,971,0,971,128500
721,8,5,1985,1148,1742,0,1742,275000
722,6,5,2004,662,848,0,848,143000
723,4,7,1970,191,864,0,864,124500
724,4,6,1954,0,997,473,1470,135000
725,9,5,2007,1234,1698,0,1698,320000
726,4,6,1970,375,864,0,864,120500
727,6,9,1988,808,1680,0,1680,222000
728,7,5,2007,724,1232,0,1232,194500
729,5,5,1958,0,1776,0,1776,110000
730,4,5,1925,152,848,0,1208,103000
731,8,5,1995,1180,1616,0,1616,236500
732,7,5,2003,786,1146,0,1146,187500
733,7,5,1998,252,1153,878,2031,222500
734,5,6,1961,594,1144,0,1144,131400
735,5,5,1968,0,948,0,948,108000
736,7,7,1914,390,880,888,1768,163000
737,3,4,1950,0,1040,0,1040,93500
738,8,5,2005,0,901,900,1801,239900
739,5,5,1987,1200,1200,0,1200,179000
740,7,5,2004,0,864,864,1728,190000
741,5,7,1910,0,768,664,1432,132000
742,6,8,1961,832,912,0,912,142000
743,7,5,2000,0,1349,0,1349,179000
744,5,6,1963,444,1464,0,1464,175000
745,8,5,1993,733,1337,0,1337,180000
746,8,9,1976,575,1175,1540,2715,299800
747,7,5,2000,300,980,1276,2256,236000
748,7,7,1880,0,1320,1320,2640,265979
749,7,5,1996,919,1720,0,1720,260400
750,4,3,1945,0,1088,441,1529,98000
751,4,7,1910,0,792,348,1140,96500
752,7,5,2003,0,660,660,1320,162000
753,6,5,1997,1200,1494,0,1494,217000
754,8,5,2005,0,1038,1060,2098,275500
755,6,8,1969,439,1026,0,1026,156000
756,6,5,1999,381,742,729,1471,172500
757,8,5,2007,20,866,902,1768,212000
758,6,5,1978,438,672,714,1386,158900
759,7,5,1999,549,757,744,1501,179400
760,8,5,1995,56,1328,1203,2531,290000
761,6,6,1959,612,864,0,864,127500
762,5,5,1924,405,1301,0,1301,100000
763,7,5,2009,24,764,783,1547,215200
764,8,5,1999,1163,1268,1097,2365,337000
765,8,5,1995,437,1494,0,1494,270000
766,9,5,2008,0,1506,0,1506,264132
767,7,5,1988,394,980,734,1714,196500
768,6,7,1940,660,983,767,1750,160000
769,7,5,2004,24,1836,0,1836,216837
770,8,5,2003,1416,1690,1589,3279,538000
771,5,5,1982,685,858,0,858,134900
772,4,5,1951,836,1220,0,1220,102000
773,6,5,1976,422,1117,0,1117,107000
774,5,5,1958,456,912,0,912,114500
775,8,5,2006,0,1973,0,1973,395000
776,6,5,1998,866,1204,0,1204,162000
777,7,5,2005,20,1614,0,1614,221500
778,5,5,1974,762,894,0,894,142500
779,5,5,1977,0,2020,0,2020,144000
780,6,5,1977,975,1004,0,1004,135000
781,7,5,1995,0,1253,0,1253,176000
782,6,5,1992,387,810,793,1603,175900
783,7,5,2001,0,1430,0,1430,187100
784,5,6,1978,1097,1110,0,1110,165500
785,6,6,1914,0,742,742,1484,128000
786,6,5,1967,251,1342,0,1342,161500
787,5,6,1915,686,966,686,1652,139000
788,7,5,2004,656,956,1128,2084,233000
789,4,7,1954,0,901,0,901,107900
790,6,8,1966,568,976,1111,2087,187500
791,7,5,2005,16,1145,0,1145,160200
792,6,5,1976,539,1062,0,1062,146800
793,7,5,1996,862,1127,886,2013,269790
794,8,5,2007,0,1496,0,1496,225000
795,7,5,1994,0,1086,809,1895,194500
796,6,6,1980,0,888,676,1564,171000
797,6,5,1977,0,1285,0,1285,143500
798,5,5,1953,570,773,0,773,110000
799,9,5,2008,0,1966,1174,3140,485000
800,5,7,1937,569,981,787,1768,175000
801,6,5,1997,462,616,1072,1688,200000
802,4,7,1916,197,1196,0,1196,109900
803,7,5,2005,648,728,728,1456,189000
804,9,5,2008,0,1734,1088,2822,582933
805,5,5,1954,812,1128,0,1128,118000
806,7,5,2008,0,1428,0,1428,227680
807,5,5,1967,400,980,0,980,135500
808,5,6,1923,1309,1072,504,1576,223500
809,5,5,1966,516,1086,0,1086,159950
810,5,5,1898,0,1075,1063,2138,106000
811,6,6,1974,663,1309,0,1309,181000
812,6,5,2004,662,848,0,848,144500
813,5,5,1952,0,1044,0,1044,55993
814,6,6,1958,608,1442,0,1442,157900
815,5,7,1918,0,686,564,1250,116000
816,7,5,1998,0,1661,0,1661,224900
817,5,6,1954,486,1008,0,1008,137000
818,8,5,2002,1218,1689,0,1689,271000
819,6,7,1971,504,1052,0,1052,155000
820,7,5,2009,733,1358,0,1358,224000
821,7,5,2003,0,798,842,1640,183000
822,4,4,1953,0,936,0,936,93000
823,7,5,2003,0,847,886,1733,225000
824,6,7,1940,0,944,545,1489,139500
825,8,5,2006,0,1489,0,1489,232600
826,10,5,2007,1636,2084,0,2084,385000
827,5,6,1924,784,784,0,784,109500
828,7,5,2001,20,1434,0,1434,189000
829,5,5,1967,249,1160,966,2126,185000
830,7,5,2005,0,520,623,1223,147400
831,6,5,1957,1040,1392,0,1392,166000
832,7,5,2005,0,520,600,1200,151000
833,7,6,2003,483,941,888,1829,237000
834,6,6,1964,196,1516,0,1516,167000
835,5,6,1961,572,1144,0,1144,139950
836,4,7,1950,442,1067,0,1067,128000
837,5,6,1948,338,1559,0,1559,153500
838,6,5,1973,330,483,504,987,100000
839,5,6,1995,0,1099,0,1099,144000
840,5,6,1946,352,768,432,1200,130500
841,6,8,1925,156,810,672,1482,140000
842,5,8,1904,0,958,581,1539,157500
843,6,7,1966,312,1165,0,1165,174900
844,5,4,1961,0,1800,0,1800,141000
845,5,8,1915,0,876,540,1416,153900
846,5,5,1975,1390,1701,0,1701,171000
847,7,5,1993,513,1006,769,1775,213000
848,5,6,1972,460,864,0,864,133500
849,6,8,1908,0,1307,1051,2358,240000
850,6,7,1976,0,1094,761,1855,187000
851,6,5,2003,659,848,0,848,131500
852,8,5,2003,0,1456,0,1456,215000
853,7,5,1941,364,918,728,1646,164000
854,6,6,1964,564,1445,0,1445,158000
855,5,4,1955,306,1779,0,1779,170000
856,5,8,1962,659,1040,0,1040,127000
857,6,6,1978,505,1026,0,1026,147000
858,6,5,1994,0,702,779,1481,174000
859,7,5,1976,0,1370,0,1370,152000
860,6,7,1968,619,1512,1142,2654,250000
861,7,8,1918,0,912,514,1426,189950
862,5,4,1965,841,1039,0,1039,131500
863,6,5,1984,338,1097,0,1097,152000
864,5,5,1959,1148,1148,0,1148,132500
865,7,5,2007,0,1372,0,1372,250580
866,5,6,1970,828,1002,0,1002,148500
867,8,5,2006,0,1646,0,1646,248900
868,4,5,1961,932,1120,0,1120,129000
869,5,6,1948,0,1547,720,2320,169000
870,7,5,1993,750,1062,887,1949,236000
871,5,5,1962,0,894,0,894,109500
872,6,5,1998,505,804,878,1682,200500
873,5,7,1953,0,910,0,910,116000
874,5,7,1949,375,1036,0,1268,133000
875,5,6,1941,0,676,455,1131,66500
876,8,5,2007,64,1184,1426,2610,303477
877,4,5,1963,633,1040,0,1040,132250
878,9,5,2004,1170,1462,762,2224,350000
879,5,7,1961,899,1155,0,1155,148000
880,5,8,1978,646,864,0,864,136500
881,5,5,2005,980,1090,0,1090,157000
882,7,5,1990,902,1187,530,1717,187500
883,6,5,1992,0,808,785,1593,178000
884,4,5,1912,0,954,795,2230,118500
885,5,5,1967,432,892,0,892,100000
886,9,5,1999,1238,1709,0,1709,328900
887,5,5,1959,528,1712,0,1712,145000
888,5,7,1955,0,872,521,1393,135500
889,8,6,1970,351,2217,0,2217,268000
890,6,4,1953,1024,1505,0,1505,149500
891,5,7,1949,0,672,252,924,122900
892,6,5,1978,226,918,765,1683,172500
893,6,8,1963,663,1068,0,1068,154500
894,5,5,1954,1064,1383,0,1383,165000
895,5,5,1979,0,1535,0,1535,118858
896,6,5,1963,400,983,813,1796,140000
897,4,6,1936,285,951,0,951,106500
898,5,5,1979,0,1120,1120,2240,142953
899,9,5,2009,2188,2364,0,2364,611657
900,5,7,1961,465,1236,0,1236,135000
901,4,6,1971,322,858,0,858,110000
902,5,7,1957,860,1306,0,1306,153000
903,7,5,2003,0,807,702,1509,180000
904,7,5,2006,0,1670,0,1670,240000
905,5,6,1967,599,902,0,902,125500
906,5,5,1954,354,1063,0,1063,128000
907,8,5,2006,63,1636,0,1636,255000
908,7,7,1936,223,1020,1037,2057,250000
909,5,5,1983,301,902,0,902,131000
910,6,5,2005,0,742,742,1484,174000
911,5,5,1960,443,1105,1169,2274,154300
912,5,7,1977,196,1268,0,1268,143500
913,5,7,1925,489,1015,0,1015,88000
914,5,6,1949,284,1001,1001,2002,145000
915,6,5,2009,294,612,612,1224,173733
916,4,5,1970,0,546,546,1092,75000
917,2,3,1949,50,480,0,480,35311
918,4,6,1956,1059,1229,0,1229,135000
919,7,5,1991,48,912,1215,2127,238000
920,6,8,1958,528,1414,0,1414,176500
921,6,5,1994,814,936,785,1721,201000
922,5,7,1900,1084,1272,928,2200,145900
923,6,5,2005,28,1316,0,1316,169990
924,6,5,1993,165,1617,0,1617,193000
925,6,6,1980,625,1686,0,1686,207500
926,5,6,1977,767,1126,0,1126,175000
927,8,5,2003,0,1234,1140,2374,285000
928,7,5,1968,552,1098,880,1978,176000
929,8,5,2001,0,1788,0,1788,236500
930,7,5,1997,0,993,1243,2236,222000
931,8,5,2007,16,1466,0,1466,201000
932,5,6,1965,338,925,0,925,117500
933,9,5,2006,0,1905,0,1905,320000
934,7,5,2004,20,1500,0,1500,190000
935,7,7,1960,425,2069,0,2069,242000
936,4,5,1926,0,747,0,747,79900
937,7,5,2003,833,1200,0,1200,184900
938,7,5,2005,341,1113,858,1971,253000
939,7,5,2006,464,1391,571,1962,239799
940,7,7,1940,0,1207,1196,2403,244400
941,6,5,1976,936,1728,0,1728,150900
942,7,5,1999,772,1022,1038,2060,214000
943,4,3,1977,1440,1440,0,1440,150000
944,5,4,1967,0,1632,0,1632,143000
945,6,6,1958,111,1344,0,1344,137500
946,5,6,1890,1088,1188,561,1869,124900
947,5,6,1959,748,1144,0,1144,143000
948,8,5,2002,1300,1629,0,1629,270000
949,7,5,2002,0,936,840,1776,192500
950,6,7,1972,982,1381,0,1381,197500
951,5,8,1950,398,864,0,864,129000
952,5,5,1965,641,965,0,965,119900
953,5,8,1972,660,768,0,768,133900
954,5,4,1969,562,1168,800,1968,172000
955,6,5,1975,945,980,0,980,127500
956,6,6,1946,484,979,979,1958,145000
957,6,6,1980,285,561,668,1229,124000
958,5,5,1962,417,1057,0,1057,132000
959,7,5,2003,699,1337,0,1337,185000
960,7,5,1999,604,696,720,1416,155000
961,5,7,1958,696,858,0,858,116500
962,6,7,1977,896,1542,1330,2872,272000
963,6,6,1976,556,804,744,1548,155000
964,9,5,2007,0,1800,0,1800,239000
965,7,5,2002,624,824,1070,1894,214900
966,6,5,2005,0,783,701,1484,178900
967,5,7,1940,428,976,332,1308,160000
968,5,7,1955,902,1098,0,1098,135000
969,3,6,1910,0,600,368,968,37900
970,6,5,1958,513,1095,0,1095,140000
971,4,4,1949,0,720,472,1192,135000
972,7,5,2003,567,764,862,1626,173000
973,6,5,1979,0,918,0,918,99500
974,7,5,2007,0,1428,0,1428,182000
975,7,8,1910,0,1136,883,2019,167500
976,7,5,2000,641,673,709,1382,165000
977,4,7,1923,0,869,0,869,85500
978,7,5,2006,1106,1241,0,1241,199900
979,4,5,1954,552,894,0,894,110000
980,5,6,1963,651,1121,0,1121,139000
981,7,9,1961,867,999,0,999,178400
982,8,5,1998,854,1276,1336,2612,336000
983,7,5,2007,0,1266,0,1266,159895
984,8,5,2002,0,1149,1141,2290,255900
985,5,5,1977,0,1302,432,1734,126000
986,5,5,1950,1040,1164,0,1164,125000
987,6,8,1910,0,1001,634,1635,117000
988,9,5,2009,1646,1940,0,1940,395192
989,6,6,1976,156,1118,912,2030,195000
990,7,5,2006,0,778,798,1576,197000
991,8,5,1997,1074,1407,985,2392,348000
992,8,9,1882,216,916,826,1742,168000
993,6,8,1964,536,1020,831,1851,187000
994,6,5,2005,0,750,750,1500,173900
995,10,5,2006,1172,1718,0,1718,337500
996,4,7,1946,384,774,456,1230,121600
997,5,6,1961,915,1050,0,1050,136500
998,6,6,1970,0,1442,0,1442,185000
999,3,4,1922,0,1077,0,1077,91000
1000,7,5,2006,686,1208,0,1208,206000
1001,3,3,1952,0,944,0,944,82000
1002,5,6,1920,0,691,0,691,86000
1003,8,5,2006,24,1574,0,1574,232000
1004,5,6,1976,0,1680,0,1680,136905
1005,7,5,2005,16,1504,0,1504,181000
1006,5,8,1977,595,985,0,985,149900
1007,6,3,1970,1237,1657,0,1657,163500
1008,4,4,1970,273,546,546,1092,88000
1009,7,5,2004,0,1710,0,1710,240000
1010,5,5,1926,0,1008,0,1522,102000
1011,5,5,1948,0,720,551,1271,135000
1012,5,5,1965,0,1664,0,1664,100000
1013,6,7,1923,0,900,602,1502,165000
1014,5,4,1910,247,1022,0,1022,85000
1015,6,5,1948,336,1082,0,1082,119200
1016,8,6,2001,643,810,855,1665,227000
1017,7,5,1996,690,1504,0,1504,203000
1018,8,5,1984,1036,1360,0,1360,187500
1019,7,5,1991,0,802,670,1472,160000
1020,7,5,2005,16,1506,0,1506,213490
1021,4,5,2005,1024,1132,0,1132,176000
1022,7,5,2006,684,1220,0,1220,194000
1023,5,5,1930,324,912,336,1248,87000
1024,7,5,2005,16,1504,0,1504,191000
1025,8,6,1976,1165,2898,0,2898,287000
1026,5,5,1972,138,882,0,882,112500
1027,5,5,1960,697,1264,0,1264,167500
1028,8,5,2007,1513,1646,0,1646,293077
1029,5,5,1941,368,968,408,1376,105000
1030,6,7,1972,317,672,546,1218,118000
1031,5,8,1916,0,948,980,1928,160000
1032,7,3,1920,523,1687,998,3082,197000
1033,8,7,1993,1012,1352,1168,2520,310000
1034,7,5,2002,986,1654,0,1654,230000
1035,5,7,1938,0,954,0,954,119750
1036,4,3,1957,0,845,0,845,84000
1037,9,5,2007,1022,1620,0,1620,315500
1038,8,5,2001,0,1055,1208,2263,287000
1039,4,6,1970,0,798,546,1344,97000
1040,4,4,1970,509,630,0,630,80000
1041,5,4,1957,168,1803,0,1803,155000
1042,6,8,1966,400,800,832,1632,173000
1043,6,5,2005,900,1306,0,1306,196000
1044,7,5,1990,1085,1532,797,2329,262280
1045,8,5,1981,1104,2524,0,2524,278000
1046,3,5,1955,0,1733,0,1733,139600
1047,9,5,2005,240,1992,876,2868,556581
1048,5,5,1994,686,990,0,990,145000
1049,5,4,1960,0,1771,0,1771,115000
1050,4,7,1946,0,930,0,930,84900
1051,7,5,2007,0,1302,0,1302,176485
1052,7,5,2007,0,1316,0,1316,200141
1053,6,6,1964,442,1127,850,1977,165000
1054,5,6,1957,383,1526,0,1526,144500
1055,8,5,2002,932,1091,898,1989,255000
1056,6,5,1976,644,1523,0,1523,180000
1057,7,5,2005,659,1364,0,1364,185850
1058,7,6,1994,595,979,871,1850,248000
1059,9,5,2008,936,1130,1054,2184,335000
1060,6,7,1932,297,1096,895,1991,220000
1061,8,5,2001,616,1338,0,1338,213500
1062,3,4,1935,0,894,0,894,81000
1063,5,5,1900,0,1422,915,2337,90000
1064,6,6,1925,397,1103,0,1103,110500
1065,5,6,1966,740,1154,0,1154,154000
1066,7,5,1996,1201,1306,954,2260,328000
1067,6,7,1993,0,799,772,1571,178000
1068,6,6,1964,674,798,813,1611,167900
1069,6,4,1973,837,1291,1230,2521,151400
1070,5,7,1949,220,893,0,893,135000
1071,5,5,1956,586,1048,0,1048,135000
1072,6,6,1968,298,829,727,1556,154000
1073,5,3,1948,0,1002,454,1456,91500
1074,6,6,1977,535,698,728,1426,159500
1075,7,5,2006,0,1240,0,1240,194000
1076,7,6,1940,410,960,780,1740,219500
1077,5,8,1936,626,1096,370,1466,170000
1078,5,5,1969,75,1096,0,1096,138800
1079,6,5,2004,662,848,0,848,155900
1080,5,5,1994,495,990,0,990,126000
1081,6,7,1971,656,1258,0,1258,145000
1082,5,5,1963,824,1040,0,1040,133000
1083,7,5,2002,0,1459,0,1459,192000
1084,6,6,1964,553,1251,0,1251,160000
1085,6,5,1995,592,691,807,1498,187500
1086,6,6,1992,747,996,0,996,147000
1087,4,5,1973,334,546,546,1092,83500
1088,8,5,2005,0,1082,871,1953,252000
1089,7,5,2004,0,970,739,1709,137500
1090,8,5,2005,1039,1247,0,1247,197000
1091,3,4,1950,0,1040,0,1040,92900
1092,7,5,1999,510,624,628,1252,160000
1093,6,5,1925,423,1390,304,1694,136500
1094,5,8,1965,661,1200,0,1200,146000
1095,5,7,1956,248,936,0,936,129000
1096,6,5,2006,24,1314,0,1314,176432
1097,6,7,1914,0,773,582,1355,127000
1098,8,5,1986,0,1088,0,1088,170000
1099,4,6,1936,672,757,567,1324,128000
1100,7,5,1978,704,1601,0,1601,157000
1101,2,5,1920,290,438,0,438,60000
1102,5,5,1971,412,950,0,950,119500
1103,5,7,1960,588,1134,0,1134,135000
1104,6,6,1959,655,1194,0,1194,159500
1105,5,5,1970,0,630,672,1302,106000
1106,8,5,1994,1032,1500,1122,2622,325000
1107,7,5,1990,738,1442,0,1442,179900
1108,7,5,2006,0,887,1134,2021,274725
1109,6,5,2000,0,948,742,1690,181000
1110,8,5,2004,1039,1836,0,1836,280000
1111,6,5,1995,219,773,885,1658,188000
1112,7,6,1976,403,1098,866,1964,205000
1113,5,7,1957,708,816,0,816,129900
1114,5,7,1953,643,1008,0,1008,134500
1115,5,7,1954,415,833,0,833,117000
1116,8,5,2007,1004,1734,0,1734,318000
1117,8,5,2002,353,779,640,1419,184100
1118,5,7,1967,702,894,0,894,130000
1119,5,6,1958,0,1021,580,1601,140000
1120,5,5,1959,369,1040,0,1040,133700
1121,6,5,1920,0,1012,0,1012,118400
1122,7,5,2005,24,1552,0,1552,212900
1123,4,3,1956,0,960,0,960,112000
1124,5,9,1947,0,698,0,698,118000
1125,7,5,1992,0,812,670,1482,163900
1126,4,5,1955,0,1005,0,1005,115000
1127,7,5,2007,0,1555,0,1555,174000
1128,7,5,2004,1300,1530,0,1530,259000
1129,7,5,2004,0,847,1112,1959,215000
1130,5,5,1980,936,936,0,936,140000
1131,4,3,1928,622,1328,653,1981,135000
1132,5,5,1991,212,974,0,974,93500
1133,6,4,1880,0,1178,1032,2210,117500
1134,8,5,1995,584,1142,878,2020,239500
1135,6,5,1997,0,916,684,1600,169000
1136,6,5,1926,0,986,0,986,102000
1137,6,5,1950,280,1032,220,1252,119000
1138,5,8,1875,0,780,240,1020,94000
1139,6,5,1977,1567,1567,0,1567,196000
1140,5,5,1920,645,1167,0,1167,144000
1141,5,7,1951,852,952,0,952,139000
1142,5,7,1976,381,1088,780,1868,197500
1143,8,5,2006,1150,1466,1362,2828,424870
1144,5,3,1959,288,1006,0,1006,80000
1145,4,4,1941,348,672,252,924,80000
1146,5,6,1928,0,1042,534,1576,149000
1147,6,5,1985,1258,1298,0,1298,180000
1148,7,7,1941,275,860,704,1564,174500
1149,7,7,1926,0,572,539,1111,116900
1150,7,9,1920,624,832,650,1482,143000
1151,6,5,1950,0,932,0,932,124000
1152,5,4,1959,176,1466,0,1466,149900
1153,6,7,1956,296,1811,0,1811,230000
1154,6,8,1930,538,816,0,816,120500
1155,7,6,1965,454,902,918,1820,201800
1156,5,8,1976,1157,1437,0,1437,218000
1157,5,8,1965,633,1265,0,1265,179900
1158,7,5,2007,904,1314,0,1314,230000
1159,8,5,2007,0,1580,0,1580,235128
1160,6,6,1974,442,943,933,1876,185000
1161,6,5,1978,311,855,601,1456,146000
1162,6,7,1954,728,1640,0,1640,224000
1163,5,5,1968,492,894,0,894,129000
1164,4,4,1969,1198,1258,0,1258,108959
1165,5,7,1978,680,1432,0,1432,194000
1166,7,5,2009,0,1502,0,1502,233170
1167,8,5,2008,0,1694,0,1694,245350
1168,6,5,2000,786,959,712,1671,173000
1169,6,7,1935,626,1236,872,2108,235000
1170,10,5,1995,1387,1831,1796,3627,625000
1171,6,6,1977,522,1118,0,1118,171000
1172,6,6,1958,662,1261,0,1261,163000
1173,7,5,2006,0,625,625,1250,171900
1174,5,6,1946,152,1636,971,3086,200500
1175,6,8,1932,503,1170,1175,2345,239000
1176,8,5,1992,700,2129,743,2872,285000
1177,5,5,1984,658,923,0,923,119500
1178,6,8,1926,468,818,406,1224,115000
1179,5,6,1921,0,820,523,1343,154900
1180,5,5,1954,0,1124,0,1124,93000
1181,7,5,1990,1216,1298,1216,2514,250000
1182,8,5,2008,1480,1652,0,1652,392500
1183,10,5,1996,2096,2411,2065,4476,745000
1184,5,6,1920,821,1130,0,1130,120000
1185,5,4,1963,1159,1572,0,1572,186700
1186,5,7,1924,392,949,272,1221,104900
1187,3,5,1900,440,1014,685,1699,95000
1188,8,5,1994,1456,1624,0,1624,262000
1189,7,5,2002,0,831,829,1660,195000
1190,7,5,1999,0,1028,776,1804,189000
1191,4,4,1961,1159,1622,0,1622,168000
1192,8,5,1999,0,764,677,1441,174000
1193,5,8,1925,0,842,630,1472,125000
1194,6,5,1999,883,1224,0,1224,165000
1195,6,7,1969,371,663,689,1352,158000
1196,6,5,2005,0,728,728,1456,176000
1197,7,5,2006,0,879,984,1863,219210
1198,7,6,1916,0,815,875,1690,144000
1199,7,5,2001,0,1212,0,1212,178000
1200,4,5,1963,547,1382,0,1382,148000
1201,4,5,1970,0,864,0,864,116050
1202,7,5,1998,0,866,913,1779,197900
1203,5,8,1925,0,884,464,1348,117000
1204,7,5,2000,0,1630,0,1630,213000
1205,5,6,1975,788,1074,0,1074,153500
1206,7,7,1990,485,2196,0,2196,271900
1207,4,4,1966,1056,1056,0,1056,107000
1208,6,5,2003,340,1700,0,1700,200000
1209,5,7,1962,504,1283,0,1283,140000
1210,8,5,2006,1220,1660,0,1660,290000
1211,6,5,1992,0,1055,790,1845,189000
1212,8,7,1988,427,1080,672,1752,164000
1213,4,6,1941,344,672,0,672,113000
1214,4,9,1965,648,960,0,960,145000
1215,5,5,1962,784,999,0,999,134500
1216,5,5,1966,180,894,0,894,125000
1217,6,5,1978,0,1318,584,1902,112000
1218,8,5,2009,936,1314,0,1314,229456
1219,4,5,1947,0,672,240,912,80500
1220,6,5,1971,0,672,546,1218,91500
1221,5,5,1964,312,912,0,912,115000
1222,5,5,1968,250,1211,0,1211,134000
1223,6,6,1949,196,1168,678,1846,143000
1224,5,3,1951,756,2136,0,2136,137900
1225,7,5,2004,724,788,702,1490,184000
1226,6,8,1958,507,1138,0,1138,145000
1227,6,5,2007,0,894,1039,1933,214000
1228,5,8,1965,595,912,0,912,147000
1229,9,5,2008,1540,1702,0,1702,367294
1230,5,5,1960,666,1507,0,1507,127000
1231,5,5,1977,498,1361,1259,2620,190000
1232,5,6,1962,803,1190,0,1190,132500
1233,4,5,1962,0,1224,0,1224,101800
1234,5,5,1959,1000,1188,0,1188,142000
1235,5,6,1911,0,1024,940,1964,130000
1236,5,5,1914,0,892,892,1784,138887
1237,7,5,2003,0,764,862,1626,175500
1238,7,5,2004,0,847,1101,1948,195000
1239,6,5,2005,0,1141,0,1141,142500
1240,8,5,2006,428,1484,0,1484,265900
1241,7,5,2003,550,884,884,1768,224900
1242,7,6,2007,0,1689,0,1689,248328
1243,7,6,1974,885,1173,0,1173,170000
1244,10,5,2006,1386,2076,0,2076,465000
1245,8,7,1929,0,792,725,1517,230000
1246,6,7,1984,0,1140,728,1868,178000
1247,7,5,2005,0,756,797,1553,186500
1248,6,5,1976,539,1034,0,1034,169900
1249,6,5,1917,319,1134,924,2058,129500
1250,5,7,1950,534,988,0,988,119000
1251,7,5,1968,1065,2110,0,2110,244000
1252,7,5,2003,0,1405,0,1405,171750
1253,5,6,1968,510,874,0,874,130000
1254,7,7,1974,125,1516,651,2167,294000
1255,7,5,2003,0,760,896,1656,165400
1256,6,6,1931,425,959,408,1367,127500
1257,8,5,1994,1314,1987,0,1987,301500
1258,5,8,1922,0,864,0,864,99900
1259,7,5,2005,655,1166,0,1166,190000
1260,6,8,1969,602,1054,0,1054,151000
1261,6,5,1999,0,892,783,1675,181000
1262,5,6,1956,504,1050,0,1050,128900
1263,4,5,1957,0,1104,684,1788,161500
1264,6,6,1919,0,1060,764,1824,180500
1265,6,5,1998,266,1337,0,1337,181000
1266,7,5,1999,450,713,739,1452,183900
1267,7,4,1910,0,964,925,1889,122000
1268,9,5,2008,0,2018,0,2018,378500
1269,8,9,1935,192,1968,1479,3447,381000
1270,5,5,1958,460,874,650,1524,144000
